Bake the aubergines <head>in</head> a preheated 180dC/350dF/Gas 4 oven for half an hour or until limp and lightly browned .	1(1)
These vary from the very pleasant amble to the Moorsee , to more testing hikes <head>into</head> the Wilder Kaiser mountain range .	3(3)
His comments mirror similar remarks <head>by</head> other scientists , who have warned that excessive reactions against pesticide traces in drinking water could cause serious difficulties for the water industry .	3(1b)
Those who found politics interesting <head>in</head> the campaign but had not been interested in politics a year earlier gave the press high ratings for helping them decide how to vote .	7(5)
An appeal <head>by</head> the Chairman to chambers for extra pupillage places was undertaken during May after a questionnaire had been completed by all students of the Inns of Court School of Law regarding their pupillage position .	3(1b)
Britain defines it in terms of competition and free trading ; most of the other countries conceive <head>of</head> it in terms of minimum operating standards .	15(7a)
Squeezing her fist together she crumbled it <head>into</head> fine powdery dust .	6(6)
She was polite <head>about</head> the leeks and lumpy cheese and said a similar thing could be done with endives and it looked at first as if the lunch was going to prove a slightly awkward affair .	1(1)
With some , this view does not cohere <head>with</head> their other beliefs , and one can not attribute to them belief in any coherent justification of their acceptance of an obligation to obey .	9(7)
Sir George Porter , of the Royal Institution in London , and George Pimentel , then associate professor <head>of</head> chemistry at the University of California at Berkeley , began work on exploiting matrix isolation in 1954 .	9(5)
The product began shipping <head>to</head> customers in Europe ( apart from the UK ) on May 18 , and North American and Far Eastern ships apart from Japan started on Thursday .	8(3)
He must have parked <head>around</head> the front of the motel .	4(3)-1
Rebecca bounded back <head>like</head> a retriever with a stick .	2(1a)
The use of sanctions must accord <head>with</head> the Department 's policy covering these measures .	9(7)
We arrive exhausted , haul in our rucsacs , check in again and hike back <head>along</head> the corridor to the airport .	1(1)
The CCBE has done a great deal behind the scenes to fend off some of the battier ideas emanating <head>from</head> the European Commission .	4(3)
The Phoenix King led his guard <head>from</head> Lothern to meet them .	1(1)
The USA retaliated <head>against</head> the harassment of its diplomats by expelling 36 staff from the Iraqi embassy in Washington -- including seven accredited diplomats -- on Aug. 27 , and imposing restrictions on the 19 who remained .	1(1)
They shrugged <head>at</head> each other .	9(5)
Miss Parker said she thanked God <head>for</head> high cheek bones every time she looked in a mirror and , on cover after cover , very little beyond her cheek bones was exposed .	6(5)
The authors would welcome comments -- critical or otherwise -- from colleagues and collaborators <head>in</head> the task of generating enthusiasm and understanding of mathematics .	7(5)
Join the strips <head>with</head> a plain seam and fold in half lengthways with right sides facing .	4(3)
As the Supreme Court began its deliberations <head>on</head> the Pennsylvanian legislation , an extreme anti-abortionist group , Operation Rescue , held a mass picket of an abortion clinic in Buffalo , New York .	8(3) 11(5)
Farmer 's boy wins fight <head>for</head> fortune	5(4)
Chain your steering wheel <head>to</head> the clutch , brake pedal or a seat .	13(5)
He lived with his wife , a thin and rather nervous girl <head>with</head> ragged blonde hair , in a second-floor flat that belonged to her widowed mother .	2(2)
The feint attacks towards Scotland and Ireland , designed to draw off the British warships from the Channel , were also frustrated by the patrolling frigates , ready to summon heavier support <head>from</head> Portsmouth and Plymouth .	4(3)
Members of the Reform Alliance and the Peoples Democracy Platform emerged from separate caucus meetings unable to decide what should be changed in the manifesto drafted <head>by</head> Imre Pozsgay .	4(1c)
First , we tried a direct approach and ground up polarizing region cells and put the mixture <head>into</head> agar blocks which we then grafted to the anterior margin .	1(1)
Prokofiev threaded two leitmotifs through his score <head>for</head> Cinderella to mark the heroine and her Fairy Godmother .	3(3)
She gave him the number , then put the phone down , crawled <head>into</head> bed and waited .	3(3)
Johnson reigned <head>for</head> six years , Louis for eleven .	12(10)
All thoughts <head>of</head> tiredness had now gone as I prepared myself for breakfast and quickened my pace towards the barn .	12(6a)
If he did n't turn up they moaned <head>at</head> him later for not being there , and they had used his name for fund-raising without permission .	9(5)
She was propped up now against a heap <head>of</head> pillows .	3(1b)
A dash <head>to</head> the train saw Dettori and several colleagues arrive with seconds to spare before the first race .	1(1)
Grand Duke George of Hesse and four members of his family were tragically killed this morning when a Sabena aircraft carrying them <head>from</head> Frankfurt to London crashed in thick fog over the Belgian countryside .	1(1)
These social readings of Lacanian psychoanalysis have allowed feminist literary , film , and cultural studies to refine their simplistic descriptions <head>of</head> subjectivity on the basis of biological sex or social gender relations .	12(6a)
Cecil crept up <head>behind</head> Sam and poked him with his over-sized weapon .	4(2a)
Paths are undefined up to summit and for much of the descent , but route-finding is quite easy <head>in</head> clear weather .	5(4)
Instead , respondents reveal that they possess the basic elements of a justificatory argument <head>for</head> the monarchy .	1(1)
Marxists and feminists are inclined to see this familiar fact as a form of exploitation , and the current fashion is to be particularly scornful <head>of</head> the honour that is supposed to accrue to the unpaid housewife .	13(6b)
If you summon up the courage to investigate , you might find not alien creatures but a friendly hedgehog or two , emerging from hibernation and foraging for food <head>among</head> the shrubs in your borders .	2(2)
"` I have had a bit of an accident and the car you rented <head>to</head> me this morning is now a burnt out shell ! """	8(3)
My mum was piling tinned ravioli <head>into</head> the trolley .	1(1)
What should have happened is that the soft , natural gold would be spiked by the pin what actually happened was that the nugget was pinged out into the river <head>like</head> a tiddly wink .	3(1b)
Broadly speaking , segmentation partitions the market <head>into</head> industrial , retail , wholesale , consumer and international areas .	7(7)
""" So I waltzed him <head>across</head> the road and put him in a doorway and left him for somebody else to find ."	1(1)
This is quite appropriate because he is the Emperor <head>of</head> Turkey , and a mighty one at that .	6(3)
That could however have been also due to the fact that on her third night in this world , although the Germans had never previously visited Hertfordshire , we got a bomb on the front <head>of</head> the hospital .	2(1a)
Or drive south from Ramsey to Douglas on a road that snakes upwards <head>into</head> the collar of cloud that rests on the shoulders of Snaefell , the highest mountain on Man .	3(3)
The wasp lays eggs <head>inside</head> the eggs laid by the whitefly , thereby destroying the whitefly eggs .	2(1a)
The chief defence lawyer , Bruce Cutler , denounced the prosecution <head>as</head> a further episode in an unwarranted vendetta against his client by the US government .	1(1)
Consequently the cadmium red light and the droplets of gold fused <head>into</head> the Renaissance gold where they fell upon it in rather a pleasing manner .	6(6)
"She skimmed <head>through</head> the list of honours and achievements until she reached the end of the sentence : ` died on Saturday at The Cedars where he had made his home for the past twelve years . """	10(3)
There was an evening to pass before the midnight flight to London and , despite Tucker 's adamancy that Miss Kennedy would n't see her , she taxied <head>to</head> the Big Bamboo on Wulff Road .	1(1)
An average crop has between 100 and 400kg per hectare of nitrogen deposited <head>on</head> it every year , and between 70 and 150kg per hectare is leached into the ground and filters through to the water systems .	5(1d)
He reveres Cage <head>for</head> his rigorous search for simplicity , his fantastic openness to experiences and ideas .	6(5)
This morning , there was even a fire tended by seven vagrants , roaring drunk <head>on</head> Emva Cream at half-past ten in the morning .	20(10)
The Welsh Office are proposing the construction of a bypass <head>to</head> Crickhowell , an attractive small town to the east of the Park .	1(1)
Paul 's opponents found it easier to agree in synod on his unworthiness for office than to eject him <head>from</head> the episcopal residence .	10(7)
She paces dangerously <head>around</head> the stage claiming everything in sight , including Solor , with the naive greed of a woman indulged since childhood .	3(2)
Speaking on the eve of an expected announcement <head>on</head> energy taxes by the Clinton administration , Mr DeCrane said that global climatic change was a complicated issue in which stringent environmental policies were being proposed with little regard to cost.	8(3)
Fix the batten in place with angle brackets , then attach the blind <head>with</head> touch-and-close fastener .	4(3)
Almost concurrently came the report of Geoffrey Boycott having his golf clubs lifted <head>from</head> a train and chasing after the thief as though in pursuit of one of his own runs .	1(1) 4(3)
"You 're pleased <head>about</head> his engagement -- he told me that some time ago -- and you 've as good as admitted it tonight . """	1(1)
"Pennick and Devereux are blunt <head>on</head> this point : ` The dowsing rod has become an implement to authorise the acceptance of subjective ideas as factual statements . """	8(3)
An incriminating document , apparently pilfered <head>from</head> EPA 's files , casts the agency 's attitude toward science in a new light .	4(3) 10(7)
A VIDEO of a Spitfire plunging <head>to</head> the ground in flames when a stunt went wrong was shown to an inquest jury yesterday .	1(1)
SCHOOLGIRL RAPED <head>BY</head> YOUNG ` FOX'	2(1a)
The frame is studded <head>with</head> pearls and precious stones .	5(3a)
"` You can be a success , "" he chanted <head>to</head> himself , ` your mind is a chisel , your will is a hammer , and life is a rock . """	8(3)
The molecules of your body , because of the way they are made up , possess the ability to rotate polarized light <head>in</head> a leftward direction .	6(4a)-1
Egypt 's independence had been a unilateral declaration <head>by</head> Britain ; and the reservations imposed were to become a running sore in the relations between the two countries .	3(1b)
The Colonel started to talk about 1965-66 , the terrible slaughter <head>of</head> Communists and Chinese by the army and their thug friends in sarongs .	12(6a)
Despite Alcuin 's reservations about Eardwulf , the king must have stepped into the shoes of the slain Aethelred as a recipient of Carolingian favours and may even have married a kinswoman <head>of</head> Charlemagne .	6(3)
A family of three escaped <head>from</head> a house fire in Bardon Road , Berwick Hills , Middlesbrough , yesterday afternoon .	10(7)
PATIENTS were stranded in their beds as a torrent <head>of</head> flood water swept through a North Wales hospital last night when a freak rain storm brought havoc to parts of North Wales .	3(1b)
At the same time the defender raises his knee and pulls the attacker 's extended punch aim , using that arm as a support to strike <head>behind</head> the attacker 's kneecap with his foot .	1(1)
POLICE discovered stolen jewellery <head>at</head> a Middlesbrough man 's home , a court was told .	1(1)
"` You 'd better help Betty load the stuff <head>in</head> the car . """	2(1a)
He worries <head>at</head> the extent to which known Felix pictures have disappeared in the last 30 years , and can detail those that have gone missing from Brighton , The Oval and a Piccadilly pub .	11(6)-1
When I confronted him outside the refectory and insisted that the resident be allowed to finish his meal , he exploded in a torrent <head>of</head> foul language and vowed he would never return .	3(1b)
This can also be treated biologically in a greenhouse by deliberately introducing a predator mite , Phytoseiulus persimilis , which feeds <head>on</head> red spider mite .	9(3a)
It was impossible to drive because of the debris that blocked the streets : walking was dangerous because a wall might topple <head>on</head> you at any minute .	5(1d)
Mind you , getting through defences ai n't that easy : defenders can nick the ball <head>off</head> you by slid-tackling -- although this has unpredictable results when it rains .	4(3)
Alexei 's favourite spot was in what he supposed might have been termed a clearing -- at least it was in the centre of a circle <head>of</head> four rocks , each one the size of a crouching man .	3(1b)
Thirty four-year-old Alan Mercer from Lindford and Brian Rudman ( 23 ) from Whitehill are paddling all the way <head>from</head> Devizes to Westminster in a 125-mile canoe race .	1(1)
She sat with her until the exhaustion <head>of</head> grief finally drove Ana to sleep and silence , then Maggie went to wait for Felipe .	9(5)
"He conducted us <head>to</head> a new restaurant , the Hungry Horse , which was pronouncedly ` gay "" , with all the young waiters in tight-fitting cotton trousers of small blue-and-white checks ."	1(1)
The Perm was soon taking pity <head>on</head> Charlie , as people tended to , and Charlie was asking him about the pressures of fame as if it were something that concerned him from day to day .	11(5)
He speaks <head>about</head> the archaeological finds that have been made in Cyprus 's mines -- the reed ore baskets , the wooden winches and woven ropes , the skeletons cramped in galleries less than one metre high .	1(1)
Contrary to popular belief <head>among</head> political parties that the environment is a middle-class issue , the poll found equal support -- 77 per cent -- across the classes for tunnels and re-routing .	3(3)
If you are unsure <head>about</head> the adequacy of your daily diet , look at the list of symptoms below .	1(1)
A green pickup swerved <head>across</head> a field to follow a combine with a tractor and trailer travelling alongside .	1(1)
"Leader Peter Jackson said : ` It is unreasonable <head>for</head> the Governemnt to expect us to increase our commitment without extra expenditure . """	2(2)-1
Two Nationalist members of Parliament recently defected <head>to</head> Chief Mangosuthu Buthelezi 's Inkatha Freedom Party .	1(1)
"Soon he surfaces from a vat <head>of</head> hot tar , covered from head to foot ; the ` tar "" was really food flavouring ."	3(1b)-1
The seat is one of several in Rajasthan which the Janata Dal can not afford to lose if the combined opposition forces are to oust Mr Gandhi <head>from</head> power .	10(7)
They question the voluntary nature of his confession and say rapes and murders <head>by</head> their forces are isolated and treated as crimes when detected .	3(1b)
Position the rectangular cake <head>at</head> the back of the board .	1(1)
In her most recent show , d2 , Butcher 's dancers wore plain black or white trousers and T-shirts and danced <head>from</head> the stage up on to catwalks ; architectural drawings were projected and electronic music accompanied them .	1(1)
I was hungry <head>for</head> company .	6(5)
A slick transfer put Hooks clear 40 metres out and he swerved <head>inside</head> one defender , and ran straight through two powder puff tacks to score under the posts for Mark McCall to convert .	4(1c)
"Martin Kippenberger has inset ` My Last Will and Testament "" , a plain white canvas , flush with the wall ; and Martin Gostner has sprayed a column <head>with</head> transparent glue , sticky but invisible ."	5(3a)
Residents <head>at</head> the charity home really hit the high notes when marketing manager , Richard Howard , dropped in to present a $2,000 donation on behalf of the Midlands , West Wales region .	1(1)
Despite an initially hostile atmosphere , with demonstrations organized by the regime , the talks concluded <head>on</head> Nov. 13 with an agreement that representatives of the National Assembly should meet for direct talks with Aristide .	17(8)
However , fired with enthusiasm from the successes in Sheffield , we opened for business in a church hall rented <head>to</head> us by a sympathetic vicar .	8(3)
Community cop : One of the first duties of Netherton 's new community officer , PC John O'Neill was to guide local children <head>around</head> Copy Lane Police Station .	3(2)
Following the collapse of the IMF system , countries abstained <head>from</head> systematic interventions in foreign exchange markets in defence of particular parities .	11(8)
Robot tenders puttered briskly <head>through</head> the water , humming to themselves .	3(1b)
Davis checked that each man had a rucksack <head>of</head> bombs , a pocketful of fuses , benzedrine tablets , a full water-bottle and a loaded weapon .	3(1b)-1
It is convenient to define the geometric domain <head>as</head> a local orthogonal space that will just contain the component part .	1(1)
She swayed and bumped <head>against</head> Uncle Philip and he dropped his joviality like a brick and shook his fist balefully at Finn over his head .	10(4)
Sinhalese cattle medicine called for branding the animal with particular designs in order to give it strength or to cure it <head>of</head> various illnesses .	12(6a)
The drone buzzed curiously <head>across</head> the room and vanished behind the table , making its own checks on the Doctor 's health .	1(1)
The VOPO in the civilian Wartburg frantically waved his colleagues <head>to</head> a stop and explained what had happened .	1(1)
Joe 's eyes rolled <head>around</head> the room , noticing the expensive furniture I had bought recently .	3(2)
"` How much ? "" he asked , still in a sort of trance , turning the brown lustre <head>of</head> her skin into Abyssinian maid and then the Queen of Pleasures ."	9(5)
The violence seethed <head>inside</head> him , like milk bubbling in a saucepan , trying to boil over and escape the unendurable heat .	3(1b)
He was nursing in silence the options left to him , and so far they did not appear <head>to</head> him totally unpromising .	14(6)
It was a grin <head>of</head> pure happiness .	6(3)-1
Summerbee struck right on the stroke of half-time to set up a clash with France impressive 3-0 winners <head>over</head> Portugal in the final tomorrow .	6(2b)
She thought of the inevitable disdain with which her friend would react to the news that Constance had been seduced into a reckless marriage <head>with</head> a virtual stranger .	1(1)
"Although geneticists may think it an odd idea , it is therefore sensible <head>for</head> us to speak of genes ` for "" stone shape , stone size , stone hardness and so on ."	2(2)-1
"` She always was , "" Constance murmured <head>to</head> herself ."	8(3)
There was no Tom to come in making a mess on the clean floor with his dirty boots , no sound <head>of</head> happy laughter round the table .	9(5)
The man came into the store , stamped his foot <head>on</head> the mat and went to the counter .	5(1d)
"They would curse their lack of height as they pranced round because the tallest Girls were always chosen as ` drivers "" and simply trotted <head>behind</head> ."	3(2)
In another , an elderly woman forced a pronged implement into the anus <head>of</head> a muscular man wearing the mask of Horus .	6(3)
After some 30 minutes of driving towards the jagged mass of the Troodos Range , we turn and plunge down a steep trail <head>to</head> a river bank .	1(1)
"` I will , "" she promised , and promptly forgot <head>about</head> it until Sarah said during the week , ` That girl Ella that you know , Anne ."	1(1)
The football authorities have debated endlessly <head>about</head> the impact of these changes on their game .	1(1)
So that 's Mill 's argument <head>against</head> enlightened despotism .	1(1)
"During his meeting <head>with</head> Qian , Yeltsin hailed the beginning of a "" new historic era "" between Russia and China ."	1(1)
I never , ever worry <head>about</head> my age .	1(1)
Behind the glass an official from the Political Branch scowled <head>at</head> a worried-looking black .	9(5)
` I want you to examine this act in which you propose we should conspire <head>with</head> the enemy against our emperor .	1(1)
Jenny went on being provocatively rude <head>to</head> Matthew and loving to James .	8(3)-1
Zacchaeus knew he would n't get a very good look <head>at</head> Jesus because he was too short to see over the heads of the crowd , so he shinned up a tree .	9(5)
Water flowed <head>in</head> the centre , shallow and sluggish .	1(1)
Heat rose from the depths , and every smooth cold surface was damp <head>with</head> condensation .	11(7b)
I plugged my naked feet in between the empty seats as tears rolled <head>down</head> my cheeks .	1(1)
If there was any justice in the world he should really decapitate her <head>with</head> a spade on Wimbledon Common in full view of her therapy class .	4(3)
After recovering , he joined Simpson and Maule in their business <head>at</head> 1 Kennington Road , Newington ( Fig. 1 ) .	1(1)
` Well , sir , it 's not so irrelevant because while he was in that curacy there was some sort of row <head>about</head> a boy in the youth club .	1(1)
You 're third-generation Russian , your grandfather escaped <head>during</head> the revolution and came here via Switzerland and France .	2(1a)
The rebels blamed the massacre <head>on</head> the government troops and the government blamed it on the rebels .	11(5)-1
Let ministers of local churches have copies as a good exercise in public relations and also just in case they have new members of their flock inquiring <head>about</head> schools in the area .	1(1)
Carefully prise <head>off</head> the end battens .	4(3)
Do n't tell the 3 L-drivers this , but in all his 10 years of examining , Barry Silk has never tested anyone <head>on</head> a steam roller .	9(3a)
The Constitution , in short , is subject to interpretation <head>by</head> different bodies , the most prominent being politicians , judges , and scholars .	3(1b)
His stay at home coincided with a visit <head>from</head> the Reverend Jones of Isleworth , who had kept in touch and was now a friend of the family .	12(9)-1
Martin Richmond , from Chalford in Gloucestershire , and a friend from London , pedalled <head>through</head> the Himalyas to establish what they believed was a new world altitude cycling record .	1(1)
The first was the killing <head>of</head> two policemen on Jan. 2 by the Azanian People 's Liberation Army ( APLA -- the military wing of the PAC ) .	12(6a)
Ember angled <head>towards</head> her , dragging at his oxy-bottle as he ran .	1(1)
Such conventions are prescribed neither by statute nor by judicial interpretation , so one must study instead scholarly interpretations <head>of</head> political behaviour and practice .	12(6a)
Moonlight flashed <head>on</head> the blade of his sword , pointing ( as far as Guy was concerned ) in no particular direction at all .	5(1d)
In more extreme manner we might wish to register our displeasure <head>at</head> the felling of a row of fine trees for a road-widening project by saying that they had the right to be left in peace .	11(6)-1
Karl 's last act as President had been to insist that the wing mirrors on Global cars be fitted parallel to the road so that people could snort drugs <head>off</head> them .	4(3)
To keep our analysis fairly simple in this chapter , we adhere <head>to</head> the definitions given above and ignore the complications created by durable consumer goods .	14(6)
Danielle Maillefer of the World Health Organisation reported that 100 cylinders <head>of</head> oxygen , needed during operations , had reached the city .	3(1b)-1
Cardiotocography records are carefully scrutinised and sometimes pivotal <head>in</head> expensive legal actions .	7(5)
Order travellers cheques from your bank to cover the majority of your requirements , taking only a modest amount <head>of</head> foreign currency and sterling to cover purchases en route .	3(1b)
It was snowing <head>in</head> July !	3(2)
She flounced <head>into</head> the bathroom , and then tried to think how to flounce out again in any way that would get her past his indispensable face and into the bloody lift .	3(3)
The juices soaked <head>into</head> the white grains , staining them brown .	1(1)
Garbage littered the outside ; a very old white woman hobbled slowly <head>on</head> crutches into a downstairs flat .	15(7a)
"` Disco Di "" has only ever existed in the minds of headline writers with an appreciation <head>for</head> alliteration ."	2(2)
She stamped <head>to</head> the window and thrust the old man aside .	1(1)
When Ember had heard her out , blue fire gelled into sapphire <head>around</head> him .	1(1)
When the London doctors finally granted him his freedom , he bolted <head>like</head> a child let out of school .	2(1a)
For a moment it was as though they had stepped <head>through</head> the doorway and into a Mediterranean resort .	1(1) 3(1b)
"` I guess not , "" Sabrina replied then gestured <head>towards</head> the bodies ."	1(1)
The eyes <head>of</head> predators are finely tuned to the slightest movement , but are less well equipped to distinguish static shapes , especially if their outlines are blurred by broken patterning or by foliage cover .	6(3)
Thus finishes our tour <head>of</head> the western crags of Lakeland .	17(8)
Most of them went through the ritual of gazing <head>about</head> them with curious eyes in search of a familiar face among the crowds .	3(2)
Someone had chucked a brick <head>through</head> the gas-mantle on the corner by the Cathedral railings and it had n't been replaced .	2(1a)
Mr Sharif , meanwhile , is stomping <head>around</head> the country , vowing to get rid of the president when he gets back into power .	3(2)
Railways were crucial <head>to</head> the erection of the new specialized and integrated economic order .	14(6)
The Military Sports Group Trenck had come to the attention <head>of</head> the authorities after members had harassed a Viennese youth earlier in the month .	11(6)
Henry was going to add a chapter towards the end of The Complete History of Wimbledon in which he planned to deal with the failure of nerve he sensed <head>in</head> the place .	1(1)
Go over a fence to the left of the house to a burn <head>at</head> the back .	1(1)
"It alleges ` untrue and defamatory "" allegations <head>by</head> Mr Branson and Virgin ."	3(1b)
As a one-way passage the model clearly does not square <head>with</head> the repeated movements between verse and prose that we find in Shakespeare .	9(7)
"She 's in a lot of pain , and is extremely anxious <head>about</head> her condition . """	1(1)
The man snorted <head>like</head> a ploughhorse getting its breath after turning a long furrow .	2(1a)
He released her and sat back , flexing his legs <head>in</head> the confines of the car .	1(1)
No one doubts the seriousness of the problems Mr Major must address , the recession foremost <head>among</head> them .	2(2)
Justin moved on to Rome where he offered lectures <head>in</head> his own school on the Christian philosophy .	1(1)
"` When and why did you arrive <head>at</head> that conclusion ? "" she queried quietly ."	1(1)
Because he sat most nights <head>on</head> his own and looking very much removed from the whole crowd , very dark-browed and quiet , we speculated endlessly on his story .	9(3a)
It is quite understandable to be afraid of the anger of others who make life unpleasant <head>for</head> us , but few of us have the courage and conviction to face the process of anger .	2(2)-1
"In the United States MacArthur was identified with the right wing of the Republican Party with condemnation <head>of</head> Franklin D. Roosevelt 's New Deal for its ` socialistic "" tendencies ."	12(6a)
The dealers snatch the baskets <head>of</head> produce they have bought and rush them to waiting lorries .	3(1b)-1
It secretes a new , soft wrinkled skin <head>beneath</head> the shell .	2(1a)
"But there are some amazing spacey workouts like ` Forgotten Realm "" and ` Feel the Anguish "" that are a bit like an alternative soundtrack <head>for</head> Eraserhead ."	3(3)
She looked very different from the girl who had hauled oysters <head>into</head> a sack and carried them to market .	3(3)
And when the rain threatened to overflow our collective high water mark , we adjourned for coffee and a chat <head>about</head> Neil Kinnock .	1(1)
"The researcher will begin to penetrate the ` fronts "" that are always put up for an outsider , and will work towards developing a true and authentic understanding <head>of</head> the setting ."	12(6a)
If you buy <head>from</head> a retailer you may get some joy out of the manufacturer of the machine -- but do n't count on it .	4(3)
Melissa touched her arm ; still she did not move but as if a tap had been opened , tears spilt <head>from</head> her eyes and began streaming down her face .	4(3)
The blasted Fabian Society was insisting <head>on</head> a postal ballot of all its members there .	11(5)
"It 's so time-consuming that most professional carvers avoid it <head>like</head> the plague . """	3(1b)
When they were still two miles away his headlights caught a half-naked figure trying to scramble <head>through</head> a hedge .	1(1) 3(1b)
Their hatred <head>of</head> exploitation and their knowledge of western capitalism and the socialist movement it had brought into being led them to utopian socialist illusions .	12(6a)
Mr Berkley slipped into the Palladium by a side-e-it , and burrowed gratefully <head>into</head> the darkness .	3(3)
Branches should also be familiar <head>with</head> Helpline 's Traders List for their own geographical area and continue to monitor the costs and standard of services provided .	9(7)
"As things are , I 'd like you to postpone your leave <head>for</head> a bit . """	12(10)
Corn was shipped <head>along</head> the Stroudwater canal to Oil Mill , although it may well be that the last half mile or so of the Painswick Stream was once navigable .	1(1)
A treatise <head>of</head> the nature of such simples as are most frequently used ( 1652 ) .	9(5)
"Unlimited industrialism is particularly dangerous , tending ` to create bodies of men and women -- of all classes -- detached from tradition , alienated from religion , and susceptible <head>to</head> mass suggestion "" ."	14(6)
Murty Killilea and Padraig Kelly were outstanding <head>in</head> defence , with Joe McGrath proving his worth in attack .	6(4a)
The only idea that seemed feasible was for the Collector to put on the rusty suit <head>of</head> armour which stood in the banqueting hall and to go out there with a scythe .	17(8)
EXPLOSIVES smuggled <head>in</head> the soles of training shoes were to be used in an attempted daylight breakout by more than a dozen IRA men in a top security prison , it emerged yesterday .	1(1)
Consequently , we should not attempt to frame our legal rules <head>with</head> the precision of a logician 's statement of the conditions necessary and sufficient for a determination .	7(5)
Victorine clattered the cake <head>into</head> the oven .	3(3)
"The summit declaration <head>on</head> Germany , which spoke about ` unity "" rather than ` reunification "" , was reached after a protracted and at times acrimonious debate among the 12 EC heads of government ."	8(3)
A post mortem yesterday at the Natal State Mortuary in Durban revealed that both women died <head>from</head> multiple wounds from the panga and bush knives .	12(9)
"They have a legal duty to investigate such complaints and legal powers , if necessary , to remove a child <head>to</head> a place of safety and apply to a court for a ` care order "" ."	1(1)
The thorax <head>of</head> the large-eyed trilobite is remarkably long compared with the average trilobite ( compare Fig. 33 ) .	6(3)
There remained a sniff <head>of</head> Nigel .	12(6a)
By the time he had climbed out of the valley and over the pass on a day which was fretting for a thunderstorm , he was boiling <head>with</head> the need to act .	11(7b)
He sat at the head of the table carefully scrutinising the document in front of him as if it were a religious text which he had to examine <head>for</head> scriptural errors .	5(4)
Blanche stood outside on the pavement under the restaurant 's yellow awning and mused <head>on</head> what the girl had told her .	8(3)
Chesarynth tiptoed <head>to</head> the window , curious now as to what lay outside .	1(1)
Carla gave her attention to a brass bell , a crinoline lady with a clapper of dirty base metal enshrouded <head>beneath</head> the silly wide skirt .	2(1a)
One day we were crouching <head>by</head> the gardener 's bonfire ( his pride was that the fire smouldered day and night and never went out ) .	18(5)
Watch it for its parched melancholia : watch it for the fantastic innards-eaten Erich von Stroheim ; watch it and spot which tiny , yet central , image Spielberg nicked <head>from</head> it for ET .	4(3) 10(7)
The Thai government has ordered the border to be closed but Thai logging companies , which stand to lose by the ban , are arguing <head>for</head> a delay in its implementation and have intensified logging in recent weeks .	1(1)
At the inquiry , called by the stewards after Willie Carson had driven Iywaan home <head>along</head> the rail , Eddery explained that Alhamad had been hanging badly left throughout the last half-mile .	1(1)
My flight path ended <head>on</head> a small ledge , my hands still grasping Olympus camera which I had been cradling for all my worth , regardless of the blows striking my body from every angle .	2(1a)
Since the end of Athens ' archaic war with Eleusis it would have been absurd <head>for</head> any deme of Attica to think of rivalling Athens .	2(2)-1
Dr Christine Henderson , the first such volunteer , had recently returned <head>from</head> Zimbabwe and described her experiences to the IC , providing graphic examples of the sort of problems that could encountered .	1(1)
The box <head>of</head> dolls ' clothes is on the table .	3(1b)-1
Take a stroll <head>around</head> the grounds and through the buildings and try to put yourself in their position .	3(2)
I raved <head>at</head> them , swore at them , gesticulated at them .	9(5)
During his leadership , the gardai had to deal with major acts of IRA-related violence , including the assassination of the British Ambassador to Dublin , Christopher Ewart Biggs , and the kidnapping <head>of</head> Dutch industrialist Tiede Herrema .	12(6a)
The massacres of the Paris Communards ( see chapter 9 above ) testify <head>to</head> its force .	14(6)
Cook the rice <head>with</head> the garam masala , using cooking liquid and extra water as required .	1(1)
Even so , these cautionary comments should not dislodge us <head>from</head> the main point .	10(7)
` You know Preston , you are kinda smart <head>at</head> that .	8(4a)
` I am very disappointed <head>for</head> Jimmy .	3(3)
Mrs Jones expected feedback and dialogue <head>about</head> the development of an intervention strategy .	1(1)
At Isleten a narrow mountain road ( used by the postbus ) also swings <head>off</head> to the left , running for 19km ( 12 miles ) to the rocky and romantic Isenthal from which the ascent to the ice-capped Uri Rotstock is approached .	2(2)
William Malyverer bequeathed <head>to</head> Our Lady of Walsingham a little ring with a diamond which Richard had given him .	8(3)
Lift the knife to make a space beneath and slip in a ribbon <head>of</head> pepper .	3(1b)
"Managers , technicians , and other ` lower professionals "" expanded <head>in</head> number with especial rapidity ."	6(4a)
With his wife Norma beside him , he climbed <head>onto</head> a soapbox to put across his campaign message .	1(1)
"` A bulletin <head>on</head> the Prime Minister 's condition is expected shortly . """	8(3)
In the past couple of decades , Britain has managed to slither <head>from</head> one high technology debacle to another .	1(1)
Leo carried the pile of crockery into the kitchen and began to load it <head>into</head> the dishwasher .	1(1)
And he was in the jacuzzi with her , turning up the dials until the water bubbled furiously <head>around</head> them .	1(1)
"` Did you sleep <head>on</head> the plane ? "" she asked ."	1(1)
She seemed , to Tammuz , quite agitated , pacing up and down <head>behind</head> her desk , swishing around in a long , belted gown .	1(1)
This effect persists <head>for</head> a relatively long time , and as there is a specific relationship between the stimuli and the responses , it is regarded as a genuine form of associative learning .	12(10)
` I 'm sorry <head>about</head> that , ma'am .	1(1)
We huddle <head>beneath</head> the covers , but to our dismay , the one duvet is but a slim pink layer of fabric resembling a furniture cover .	1(1)
And since , up to the night of 25 August , German victory in the west seemed assured , he dispatched <head>to</head> the Eastern Front two corps from the supposedly invincible German right wing in France .	1(1)
